"id","activity_scheduled_time","activity_start_time","activity_end_time","press_next_time","press_back_time","press_undo_time","press_skip_time","press_done_time","response_option_selection_time","secret_user_id","user_id","activity_id","activity_flow","activity_name","item","prompt","response","options","version"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","","","","","","1661401056394","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace1","Start by placing the point of the pen at the center of the spiral (S), and trace out along the dashed blue line to the end of the sprial (E).  Try to stay on the dashed blue line while tracing. You will do this five times. ","filename: 6306f8af924264279508772f-62f6b2e4acd35a39e99b6c32-spiral_trace1","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","1661401057527","","","","","","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace1","Start by placing the point of the pen at the center of the spiral (S), and trace out along the dashed blue line to the end of the sprial (E).  Try to stay on the dashed blue line while tracing. You will do this five times. ","","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","","","","","","1661401062764","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace2","Please trace the line again. Start at the center of the spiral (S), and end at (E).  Try to stay on the dashed blue line while tracing. ","filename: 6306f8ae9242642795087729-62f6b2e4acd35a39e99b6c32-spiral_trace2","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","1661401063815","","","","","","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace2","Please trace the line again. Start at the center of the spiral (S), and end at (E).  Try to stay on the dashed blue line while tracing. ","","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","","","","","","1661401100870","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace3","Please trace the line again. Start at the center of the spiral(S), and end at (E).  Try to stay on the dashed blue line while tracing.  ","filename: 6306f8af924264279508772d-62f6b2e4acd35a39e99b6c32-spiral_trace3","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","1661401101874","","","","","","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace3","Please trace the line again. Start at the center of the spiral(S), and end at (E).  Try to stay on the dashed blue line while tracing.  ","","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","","","","","","1661401118078","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace4","Please trace the line again. Start at the center of the spiral(S), and end at (E).  Try to stay on the dashed blue line while tracing.  ","filename: 6306f8af924264279508772c-62f6b2e4acd35a39e99b6c32-spiral_trace4","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","1661401119153","","","","","","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace4","Please trace the line again. Start at the center of the spiral(S), and end at (E).  Try to stay on the dashed blue line while tracing.  ","","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","","","","","","1661401199948","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace5","Please trace the line again. Start at the center of the spiral(S), and end at (E).  Try to stay on the dashed blue line while tracing.  ","filename: 6306f8af924264279508772e-62f6b2e4acd35a39e99b6c32-spiral_trace5","","6.3.48"
"6306f8ad9242642795087728","not scheduled","1661400966959","1661401256462","1661401200984","","","","","","[admin account] (binarybottle@gmail.com)","62f6b2e4acd35a39e99b6c32","61f34d2662485608c74c1f66","","Spiral_iPad","spiral_trace5","Please trace the line again. Start at the center of the spiral(S), and end at (E).  Try to stay on the dashed blue line while tracing.  ","","","6.3.48"
